Time,Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Service_year_of_vehicle,Defect_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_class,Sex_of_casualty,Age_band_of_casualty,Casualty_severity,Work_of_casuality,Fitness_of_casuality,Pedestrian_movement,Cause_of_accident,Accident_severity
11:30:00,Wednesday,31-50,Male,Elementary school,Owner,5-10yr,Public (12 seats),Governmental,Unknown,,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Driver or rider,Male,31-50,3,Self-employed,Normal,Not a Pedestrian,No priority to vehicle,Serious Injury
18:05:00,Saturday,18-30,Male,Junior high school,Employee,Above 10yr,Lorry (41?100Q),Owner,,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Other,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,,Normal,Not a Pedestrian,No priority to vehicle,Slight Injury
1:12:00,Sunday,Unknown,Male,Junior high school,Employee,2-5yr,Public (13?45 seats),Owner,Above 10yr,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,3,Going straight,Driver or rider,Male,31-50,3,Driver,Normal,Not a Pedestrian,Moving Backward,Serious Injury
12:22:00,Saturday,31-50,Male,Elementary school,Owner,1-2yr,Public (12 seats),Governmental,Unknown,,Other,Double carriageway (median),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,1,1,Going straight,Passenger,Female,31-50,3,Other,Normal,Not a Pedestrian,Changing lane to the left,Slight Injury
11:42:00,Monday,Over 51,Male,Junior high school,Owner,Below 1yr,Automobile,Organization,2-5yrs,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with mountainous terrain and,Y Shape,Asphalt roads,Wet or damp,Daylight,Cloudy,Vehicle with vehicle collision,1,1,Going straight,Driver or rider,Male,31-50,3,Self-employed,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury
10:38:00,Wednesday,31-50,Male,Junior high school,Employee,Above 10yr,Pick up upto 10Q,Owner,,No defect,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,3,Going straight,Driver or rider,Female,Over 51,3,,,Not a Pedestrian,Other,Slight Injury
19:50:00,Wednesday,31-50,Male,Junior high school,Employee,Below 1yr,Lorry (41?100Q),Owner,2-5yrs,No defect,Other,Undivided Two way,Tangent road with flat terrain,Unknown,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Other,na,na,na,na,Driver,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury
13:15:00,Monday,Over 51,Male,Junior high school,Employee,Above 10yr,Stationwagen,Owner,Above 10yr,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,3,1,Moving Backward,na,na,na,na,Driver,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury
2:10:00,Sunday,18-30,Male,Junior high school,Employee,1-2yr,Pick up upto 10Q,Owner,Unknown,, Industrial areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with pedestrians,2,1,Going straight,na,na,na,na,Employee,Normal,Not a Pedestrian,Moving Backward,Slight Injury
15:25:00,Sunday,31-50,Male,Junior high school,Employee,5-10yr,Public (> 45 seats),Owner,5-10yrs,,Other,One way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,2,Getting off,Driver or rider,Male,18-30,3,Self-employed,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury
17:30:00,Monday,31-50,Male,Junior high school,Employee,2-5yr,Automobile,Owner,,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Driver or rider,Male,Over 51,2,Driver,Normal,Not a Pedestrian,Driving under the influence of drugs,Slight Injury
0:10:00,Saturday,31-50,Male,Elementary school,Employee,5-10yr,Lorry (41?100Q),Governmental,1-2yr,No defect,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Rollover,3,3,Going straight,na,na,na,na,,Normal,Not a Pedestrian,Driving carelessly,Serious Injury
14:35:00,Monday,18-30,Male,Junior high school,Employee,2-5yr,Taxi,Owner,Unknown,,Residential areas,,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Waiting to go,Passenger,Female,18-30,3,Driver,Normal,Not a Pedestrian,Moving Backward,Slight Injury
11:40:00,Tuesday,18-30,Male,,,,Automobile,Owner,,,Residential areas,One way,Tangent road with flat terrain,Y Shape,,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Passenger,Male,Under 18,3,Driver,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
20:16:00,Sunday,Over 51,Male,High school,Employee,No Licence,Pick up upto 10Q,Governmental,Below 1yr,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Rollover,2,1,Going straight,Passenger,Female,18-30,3,Driver,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
21:35:00,Saturday,18-30,Male,Elementary school,Employee,5-10yr,Public (13?45 seats),Owner,,,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Other,Collision with roadside objects,2,2,Going straight,Driver or rider,Male,Over 51,2,Self-employed,Normal,Not a Pedestrian,Moving Backward,Slight Injury
14:30:00,Wednesday,31-50,Male,Junior high school,Employee,5-10yr,Other,Owner,2-5yrs,No defect,Residential areas,Undivided Two way,Steep grade downward with mountainous terrain,Y Shape,Asphalt roads,Dry,Daylight,Unknown,Vehicle with vehicle collision,2,1,,na,na,na,na,,,Not a Pedestrian,Other,Slight Injury
7:40:00,Friday,31-50,Male,High school,Owner,Above 10yr,Pick up upto 10Q,Owner,,No defect, Church areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Passenger,Female,Under 18,3,Driver,Normal,Not a Pedestrian,Changing lane to the left,Slight Injury
9:25:00,Wednesday,Under 18,Unknown,Junior high school,Employee,Above 10yr,,Owner,,No defect,Other,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
14:43:00,Sunday,31-50,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Owner,5-10yrs,No defect,Other,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,Moving Backward,Slight Injury
7:25:00,Wednesday,18-30,Male,Junior high school,Employee,2-5yr,Special vehicle,Owner,,,Office areas,,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,2,Moving Backward,Driver or rider,Male,31-50,3,Self-employed,Normal,Not a Pedestrian,Overtaking,Serious Injury
19:00:00,Thursday,18-30,Male,Junior high school,Owner,1-2yr,Automobile,Owner,1-2yr,,School areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,1,1,Going straight,Driver or rider,Female,31-50,3,,,Not a Pedestrian,Driving to the left,Slight Injury
1:00:00,Sunday,Under 18,Male,Junior high school,Employee,2-5yr,Stationwagen,Owner,,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Passenger,Male,Under 18,3,Self-employed,Normal,Not a Pedestrian,Changing lane to the left,Slight Injury
7:41:00,Wednesday,Over 51,Male,High school,Owner,5-10yr,Pick up upto 10Q,Organization,1-2yr,No defect,Office areas,other,Tangent road with flat terrain,Unknown,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,2,Going straight,Driver or rider,Male,31-50,2,Self-employed,Normal,Not a Pedestrian,Moving Backward,Slight Injury
17:50:00,Monday,31-50,Male,Junior high school,Employee,5-10yr,Pick up upto 10Q,Owner,1-2yr,,Other,,Tangent road with flat terrain,,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,3,Self-employed,Normal,Not a Pedestrian,Moving Backward,Slight Injury
11:10:00,Wednesday,18-30,Male,Junior high school,Employee,5-10yr,Automobile,Owner,,,,,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,3,,,Not a Pedestrian,Changing lane to the left,Slight Injury
7:45:00,Tuesday,18-30,Male,Junior high school,Employee,1-2yr,Lorry (41?100Q),Owner,Unknown,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,1,Reversing,na,na,na,na,,,Not a Pedestrian,No distancing,Serious Injury
11:10:00,Sunday,Under 18,Male,Elementary school,Employee,1-2yr,Lorry (11?40Q),Owner,,No defect,Office areas,One way,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,3,4,Going straight,Driver or rider,Male,31-50,3,Employee,Normal,Not a Pedestrian,Driving under the influence of drugs,Slight Injury
17:50:00,Saturday,18-30,Male,High school,Owner,2-5yr,Public (12 seats),Owner,2-5yrs,,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,1,Going straight,Driver or rider,Male,18-30,2,Employee,Normal,Not a Pedestrian,Getting off the vehicle improperly,Slight Injury
22:24:00,Thursday,31-50,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,Unknown,No defect,  Market areas,Undivided Two way,Tangent road with flat terrain,Other,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,3,1,Other,Pedestrian,Male,Under 18,3,Driver,Normal,Not a Pedestrian,Driving carelessly,Serious Injury
14:03:00,Tuesday,31-50,Male,High school,Owner,Above 10yr,Lorry (11?40Q),Owner,,No defect, Church areas,Undivided Two way,Tangent road with flat terrain,O Shape,Asphalt roads,Dry,Daylight,Normal,Rollover,1,1,Going straight,Passenger,Female,18-30,3,Driver,Normal,Not a Pedestrian,No priority to vehicle,Slight Injury
16:31:00,Wednesday,31-50,Male,High school,Employee,2-5yr,Other,Owner,2-5yrs,No defect,Residential areas,Undivided Two way,Steep grade downward with mountainous terrain,,Gravel roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,,,Not a Pedestrian,No priority to vehicle,Slight Injury
10:40:00,Wednesday,31-50,Male,Junior high school,Employee,5-10yr,Motorcycle,Owner,,, Industrial areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,Driver or rider,Male,31-50,2,Driver,Normal,Not a Pedestrian,No distancing,Slight Injury
8:10:00,Wednesday,31-50,Male,High school,Owner,Above 10yr,Automobile,Owner,,No defect, Church areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,3,2,Going straight,Pedestrian,Male,Under 18,2,Driver,Normal,Crossing from driver's nearside,Driving carelessly,Serious Injury
2:31:00,Sunday,Unknown,Male,Junior high school,Employee,5-10yr,Automobile,,,,,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,1,Other,Pedestrian,Male,31-50,3,Driver,,"In carriageway, statioNot a Pedestrianry - not crossing  (standing or playing)",Moving Backward,Slight Injury
17:05:00,Wednesday,Over 51,Male,Elementary school,Employee,5-10yr,Automobile,Owner,,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Windy,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Male,Over 51,3,Driver,Normal,Unknown or other,Driving carelessly,Serious Injury
15:27:00,Monday,31-50,Male,Junior high school,Employee,2-5yr,Automobile,Owner,Unknown,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,na,na,na,na,Other,Normal,Not a Pedestrian,Moving Backward,Slight Injury
0:47:00,Sunday,18-30,Male,Above high school,Owner,1-2yr,Lorry (41?100Q),Owner,2-5yrs,No defect,Residential areas,Two-way (divided with broken lines road marking),Gentle horizontal curve,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,3,Going straight,na,na,na,na,,Normal,Not a Pedestrian,No distancing,Slight Injury
21:20:00,Saturday,Under 18,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Unknown,,Office areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,2,Going straight,Pedestrian,Female,Under 18,3,Driver,Normal,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Overspeed,Serious Injury
22:45:00,Monday,18-30,Female,Junior high school,Employee,1-2yr,Automobile,Owner,,No defect,Residential areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,3,Turnover,na,na,na,na,Other,Normal,Not a Pedestrian,No priority to pedestrian,Slight Injury
18:39:00,Wednesday,Unknown,Female,,,,Lorry (11?40Q),Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,Over 51,3,Driver,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury
13:55:00,Sunday,18-30,Male,Writing & reading,Employee,Below 1yr,Pick up upto 10Q,Owner,2-5yrs,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,3,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,No distancing,Slight Injury
20:30:00,Monday,18-30,Male,,Owner,,Automobile,Governmental,5-10yrs,No defect,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Overtaking,na,na,na,na,Driver,Normal,Not a Pedestrian,Changing lane to the left,Slight Injury
17:30:00,Wednesday,18-30,Male,Elementary school,Employee,Below 1yr,Lorry (11?40Q),Governmental,1-2yr,No defect, Industrial areas,One way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,1,1,Going straight,Driver or rider,Male,31-50,3,,,Not a Pedestrian,Changing lane to the left,Slight Injury
13:13:00,Friday,Unknown,Female,,Employee,5-10yr,Public (13?45 seats),Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,na,na,na,na,Driver,Normal,Not a Pedestrian,Moving Backward,Slight Injury
10:16:00,Friday,18-30,Male,High school,Employee,No Licence,Pick up upto 10Q,Governmental,Below 1yr,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Raining,Rollover,1,1,Moving Backward,na,na,na,na,Driver,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury
14:35:00,Sunday,Unknown,Male,Junior high school,Employee,1-2yr,Automobile,Owner,2-5yrs,,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Unknown,Collision with roadside objects,2,2,Getting off,na,na,na,na,Driver,Normal,Not a Pedestrian,No distancing,Slight Injury
7:10:00,Tuesday,Over 51,Male,Junior high school,Employee,1-2yr,Public (> 45 seats),Owner,,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,,,Not a Pedestrian,Driving under the influence of drugs,Slight Injury
12:10:00,Friday,18-30,Male,Elementary school,Employee,5-10yr,Automobile,Owner,,No defect,  Recreational areas,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Turnover,na,na,na,na,Driver,Normal,Not a Pedestrian,Driving under the influence of drugs,Slight Injury
1:00:00,Friday,31-50,Male,Junior high school,Employee,Below 1yr,Automobile,Owner,2-5yrs,,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,1,1,Reversing,na,na,na,na,Driver,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury
13:01:00,Saturday,18-30,Male,Junior high school,Employee,5-10yr,Long lorry,Governmental,2-5yrs,,  Recreational areas,Undivided Two way,Tangent road with flat terrain,,Asphalt roads,Dry,Darkness - no lighting,Normal,Vehicle with vehicle collision,3,2,Moving Backward,na,na,na,na,,Normal,Not a Pedestrian,No priority to pedestrian,Slight Injury
9:00:00,Wednesday,31-50,Male,High school,Employee,2-5yr,Public (12 seats),Owner,5-10yrs,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Overtaking,Driver or rider,Female,18-30,3,Employee,Normal,Not a Pedestrian,No priority to vehicle,Slight Injury
15:00:00,Thursday,18-30,Male,Junior high school,Employee,5-10yr,Public (12 seats),Governmental,,No defect,,Double carriageway (median),Tangent road with flat terrain,,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,2,Other,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
15:00:00,Saturday,31-50,Male,,,,Other,Owner,2-5yrs,,Office areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,No priority to vehicle,Slight Injury
17:34:00,Monday,18-30,Male,Junior high school,Employee,Above 10yr,Stationwagen,Governmental,,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,,Earth roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,31-50,3,,,Not a Pedestrian,Changing lane to the left,Slight Injury
17:50:00,Wednesday,18-30,Male,Elementary school,Employee,Below 1yr,Motorcycle,Owner,,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,3,3,Going straight,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,Other,Slight Injury
14:50:00,Saturday,18-30,Male,Junior high school,Employee,2-5yr,Stationwagen,Owner,2-5yrs,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,No priority to vehicle,Slight Injury
15:36:00,Tuesday,31-50,Male,Junior high school,Employee,5-10yr,Public (> 45 seats),Owner,1-2yr,No defect,Other,other,Steep grade downward with mountainous terrain,,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,3,1,,Driver or rider,Female,18-30,3,,,Not a Pedestrian,No distancing,Slight Injury
14:59:00,Wednesday,Under 18,Male,Elementary school,Employee,Above 10yr,Automobile,Owner,2-5yrs,No defect,Other,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,3,Going straight,na,na,na,na,,,Not a Pedestrian,No distancing,Slight Injury
8:13:00,Wednesday,31-50,Male,Junior high school,Owner,,Automobile,Owner,,,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining and Windy,Vehicle with vehicle collision,2,2,Going straight,Passenger,Female,18-30,3,Driver,Normal,Not a Pedestrian,Moving Backward,Slight Injury
11:30:00,Thursday,18-30,Male,Illiterate,Owner,1-2yr,,Owner,5-10yrs,,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Other,na,na,na,na,Self-employed,Normal,Not a Pedestrian,No distancing,Slight Injury
18:48:00,Monday,18-30,Male,Junior high school,Employee,Below 1yr,Automobile,Owner,,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,4,5,Moving Backward,na,na,na,na,,,Not a Pedestrian,Changing lane to the left,Slight Injury
9:45:00,Monday,Over 51,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Unknown,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,2,Overtaking,Passenger,Female,Under 18,3,Self-employed,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
8:45:00,Wednesday,31-50,Male,High school,Owner,5-10yr,Public (12 seats),Owner,,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
16:18:00,Wednesday,18-30,Male,Elementary school,Owner,5-10yr,Lorry (41?100Q),Owner,,,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Unknown,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,1,Reversing,na,na,na,na,Driver,Normal,Not a Pedestrian,Changing lane to the left,Slight Injury
20:58:00,Saturday,Over 51,Male,Junior high school,Employee,2-5yr,Stationwagen,Owner,,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with pedestrians,1,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Changing lane to the left,Serious Injury
19:41:00,Tuesday,31-50,Male,Junior high school,Owner,1-2yr,Automobile,Owner,Unknown,No defect, Industrial areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with pedestrians,3,1,Going straight,Driver or rider,Male,18-30,3,Self-employed,Normal,Not a Pedestrian,No priority to pedestrian,Slight Injury
8:40:00,Wednesday,31-50,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Above 10yr,No defect,Residential areas,other,Tangent road with rolling terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,Driving to the left,Serious Injury
